tweet,sentiment,product
"2. ""The iPhone app for #SXSW crashed on me again. Come on, Apple, get it together!""",Negative emotion,Apple
"4. ""My iPhone survived the entire #SXSW without dying once. That's a new record for me!""",Negative emotion,Apple
"8. ""Seriously considering switching to Android after this year's iPhone performance at #SXSW.""",Negative emotion,Apple
"11. ""Why does my iPhone always die at the worst times? Like right in the middle of #SXSW!""",Negative emotion,Apple
"13. ""Dropped my iPhone in the crowd at #SXSW. Praying it's still alive!""",Negative emotion,Apple
"19. ""Forgot my iPhone charger at home. This is going to be a long day at #SXSW.""",Negative emotion,Apple
"22. ""Apple, please fix the iPhone autocorrect. It's embarrassing at #SXSW!""",Negative emotion,Apple
"23. ""Bringing two backup batteries for my iPhone to #SXSW. Ain't taking any chances!""",Negative emotion,Apple
"26. ""Just got the new iPhone update. Hoping it fixes the bugs before #SXSW!""",Negative emotion,Apple
"27. ""iPhone users at #SXSW, beware of pickpockets! Keep your devices safe.""",Negative emotion,Apple
"28. ""The iPhone app for #SXSW crashed again. Apple, please get it together!""",Negative emotion,Apple
"31. ""Apple, please give us better battery life on the next iPhone. #SXSW struggles.""",Negative emotion,Apple
"36. ""Lost my iPhone charger at #SXSW. SOS, anyone have a spare?""",Negative emotion,Apple
"38. ""Just spotted the new iPhone prototype at #SXSW. Can't wait for the release!""",Negative emotion,Apple
"40. ""Bringing my iPhone to #SXSW was the best decision ever. So many memories captured!""",Negative emotion,Apple
"45. ""Apple, please fix the iPhone battery drain issue. It's a nightmare at #SXSW!""",Negative emotion,Apple
"49. ""The iPhone's battery life needs improvement, especially during #SXSW.""",Negative emotion,Apple
"50. ""Apple, please give us better low-light performance on the next iPhone. #SXSW struggles.""",Negative emotion,Apple
"51. ""Just dropped my iPhone in the pool at #SXSW. Praying it's still alive!""",Negative emotion,Apple
"52. ""Using my iPhone to navigate the food trucks at #SXSW. So many options!""",Negative emotion,Apple
"54. ""Apple, please fix the iPhone's Bluetooth connectivity issues. It's frustrating at #SXSW.""",Negative emotion,Apple
"56. ""The iPhone's screen brightness needs improvement for outdoor use at #SXSW.""",Negative emotion,Apple
"57. ""Apple, please give us better weatherproofing on the next iPhone. #SXSW struggles.""",Negative emotion,Apple
"62. ""Just witnessed someone drop their iPhone off a balcony at #SXSW. RIP device.""",Negative emotion,Apple
"63. ""Apple, please give us better app optimization for the next iPhone. #SXSW struggles.""",Negative emotion,Apple
"68. ""Apple, please make the iPhone more drop-resistant. Can't risk breaking it at #SXSW!""",Negative emotion,Apple
"76. ""iPad app crashes at #SXSW are ruining my schedule. Can't believe this wasn't tested!""",Negative emotion,Apple
"77. ""Seriously, #SXSW? Did anyone bother testing the iPad app? Constant crashes are unacceptable!""",Negative emotion,Apple
"78. ""iPad2 and #SXSW... a recipe for disaster. Can't deal with the constant crashes!""",Negative emotion,Apple
"79. ""Bringing my iPad to #SXSW was a mistake. Constant crashes are driving me crazy!""",Negative emotion,Apple
"80. ""iPad users unite! Let's survive #SXSW together amidst the crashes.""",Negative emotion,Apple
"81. ""Lost my schedule due to iPad crashes at #SXSW. Thanks for nothing, app developers!""",Negative emotion,Apple
"82. ""iPad users at #SXSW, brace yourselves for constant crashes. It's a mess out here!""",Negative emotion,Apple
"83. ""The iPad app for #SXSW is a disaster. Can't rely on it for anything!""",Negative emotion,Apple
"84. ""Just witnessed someone throw their iPad in frustration at #SXSW. Can't blame them!""",Negative emotion,Apple
"85. ""iPad users, beware of app crashes at #SXSW. Backup plans are essential!""",Negative emotion,Apple
